variant,avg_precision,avg_recall,avg_latency_ms,median_latency_ms,p95_latency_ms
baseline,0.8541203703368195,0.9222222222222222,858.1619566667238,929.2136500002925,1061.2553550001394
stronger_reranker,0.8713425925575883,0.95,1563.4675033333224,1686.0798000002433,1941.4669949994277
score_threshold,0.8927083332954686,0.9444444444444444,811.9991500000651,874.2909500001588,993.0872550002732
hybrid_bm25,0.8701388888585359,0.9833333333333333,435.92275333357975,474.62165000069945,582.7360799998132
combined,0.9066203703329913,1.0,970.0417666668727,971.9852500002162,1481.9868350002253
